year,access_pessimistic,access_base,access_optimistic,usage_pessimistic,usage_base,usage_optimistic,access_base_80pct_PI_low,access_base_80pct_PI_high
2025,49.5,51.0,53.3,35.3,36.2,37.5,45.1,63.4
2026,50.0,53.1,58.0,35.6,37.8,41.7,47.3,66.6
2027,50.5,54.8,61.4,35.9,40.2,48.3,49.4,69.9
